"","SPECIES","INTERACTIONS AS PREDATOR AT START","INTERACTIONS AS PREY AT START","INTERACTIONS AS PREDATOR AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY FUTURE EXTINCTIONS"
"100","Passer domesticus",0,90970,0,89675,0,89675,0,89204,0,89204
"101","Passer montanus",0,94759,0,93313,0,93313,0,92779,0,92779
"102","Perdix perdix",0,46169,0,45606,0,45606,0,45350,0,45350
"103","Phalaropus lobatus",0,5951,0,5951,0,5951,0,5951,0,5951
"104","Phasianus colchicus",0,24143,0,23898,0,23898,0,23794,0,23794
"105","Phoenicurus phoenicurus",0,83375,0,82221,0,82221,0,81777,0,81777
"106","Phylloscopus collybita",0,50900,0,49239,0,49239,0,48523,0,48523
"107","Phylloscopus sibilatrix",0,41701,0,41122,0,41122,0,40855,0,40855
"108","Phylloscopus trochilus",0,42109,0,41637,0,41637,0,41459,0,41459
"109","Pica pica",207801,34360,197257,34232,197219,34232,195370,34137,195311,34137
"110","Pipistrellus pipistrellus",0,23385,0,18213,0,18213,0,17513,0,17513
"111","Pipistrellus pygmaeus",0,4835,0,3580,0,3580,0,3421,0,3421
"112","Plecotus auritus",0,17000,0,16831,0,16831,0,16717,0,16717
"113","Plectrophenax nivalis",0,31988,0,31603,0,31603,0,31387,0,31387
"114","Pluvialis apricaria",0,11048,0,10945,0,10945,0,10894,0,10894
"115","Pluvialis squatarola",0,3645,0,3619,0,3619,0,3593,0,3593
"116","Porzana porzana",0,27460,0,27270,0,27270,0,27179,0,27179
"117","Prunella modularis",0,55407,0,54802,0,54802,0,54542,0,54542
"118","Pyrrhula pyrrhula",0,73955,0,73152,0,73152,0,72888,0,72888
"119","Rallus aquaticus",0,40129,0,39673,0,39673,0,39409,0,39409
"120","Regulus regulus",0,41700,0,40977,0,40977,0,40595,0,40595
"121","Riparia riparia",0,13441,0,13120,0,13120,0,12967,0,12967
"122","Saxicola rubetra",0,56934,0,54369,0,54369,0,53297,0,53297
"123","Sciurus vulgaris",0,48200,0,47937,0,47937,0,47819,0,47819
"124","Scolopax rusticola",0,33712,0,33423,0,33423,0,33266,0,33266
"125","Somateria mollissima",0,3442,0,3431,0,3431,0,3424,0,3424
"126","Sorex araneus",0,115420,0,77684,0,77684,0,73617,0,73617
"127","Sorex minutus",0,131303,0,72252,0,72252,0,67511,0,67511
"128","Stercorarius parasiticus",18292,2004,18165,2002,18165,2002,18152,2002,18152,2002
"129","Stercorarius pomarinus",7168,905,7041,903,7041,903,7004,902,7004,902
"130","Sterna hirundo",0,11864,0,11833,0,11833,0,11817,0,11817
"131","Sterna paradisaea",0,2650,0,2645,0,2645,0,2642,0,2642
"132","Streptopelia decaocto",0,29626,0,29203,0,29203,0,29020,0,29020
"133","Strix aluco",513889,18497,490522,18442,489103,18442,485449,18412,483801,18412
"134","Sturnus vulgaris",0,112137,0,110612,0,110612,0,110027,0,110027
"135","Sylvia atricapilla",0,74273,0,73108,0,73108,0,72707,0,72707
"136","Sylvia borin",0,55143,0,54233,0,54233,0,53938,0,53938
"137","Sylvia communis",0,59356,0,57806,0,57806,0,57156,0,57156
"138","Sylvia curruca",0,44315,0,42825,0,42825,0,42167,0,42167
"139","Tadorna tadorna",0,15142,0,15004,0,15004,0,14916,0,14916
"140","Talpa europaea",0,71656,0,47627,0,47627,0,44891,0,44891
"141","Tetrao urogallus",0,16802,0,16768,0,16768,0,16746,0,16746
"142","Tringa glareola",0,23978,0,23966,0,23966,0,23944,0,23944
"143","Tringa nebularia",0,18684,0,18665,0,18665,0,18652,0,18652
"144","Tringa totanus",0,36256,0,36152,0,36152,0,36087,0,36087
"145","Troglodytes troglodytes",0,43196,0,40926,0,40926,0,39984,0,39984
"146","Turdus iliacus",0,74759,0,73306,0,73306,0,72915,0,72915
"147","Turdus merula",817,76751,817,75296,817,75296,817,74855,817,74855
"148","Turdus philomelos",0,82242,0,80784,0,80784,0,80347,0,80347
